TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;OPERATION_TAGS;SALE_DETAIL;USER_ID;TRANSACTION_AMOUNT;FEE_AMOUNT;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TRANSACTION_CURRENCY;INVOICING_PERIOD
2026-04-13T15:26:03.000-03:00;2026-04-13T15:26:03.000-03:00;2026-04-13T15:26:03.000-03:00;available_money;SETTLEMENT;;"""Pago de cuotas de Mercado Crédito""";109155478;-268889.98;0.00;-268889.98;0.00;;;available_money;ARS;
2026-04-13T00:54:30.000-03:00;2026-04-13T00:54:30.000-03:00;;;SETTLEMENT;;"""Intereses ganados""";109155478;510.02;0.00;510.02;0.00;;;;ARS;
2026-04-11T22:31:21.000-03:00;2026-04-11T22:31:21.000-03:00;2026-04-11T22:31:21.000-03:00;available_money;SETTLEMENT;;"""Producto de Minimarket Los Hermanos""";109155478;-2400.00;0.00;-2400.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-11T12:09:37.000-03:00;2026-04-11T12:09:37.000-03:00;2026-04-11T12:09:37.000-03:00;available_money;SETTLEMENT;;"""Producto de Almacen Criollo""";109155478;-6800.00;0.00;-6800.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-10T11:40:44.000-03:00;2026-04-10T11:40:45.000-03:00;2026-04-10T11:40:45.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;6700.00;0.00;6700.00;0.00;;;available_money;ARS;
2026-04-10T00:29:30.000-03:00;2026-04-10T00:29:30.000-03:00;;"""Intereses ganados""";SETTLEMENT;;;109155478;710.13;0.00;710.13;0.00;;;;ARS;
2026-04-09T18:26:11.000-03:00;2026-04-09T18:26:11.000-03:00;2026-04-09T18:26:11.000-03:00;available_money;SETTLEMENT;;"""Compra en Carrefour - Suc. 6029""";109155478;-5091.50;0.00;-5091.50;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-09T12:54:26.000-03:00;2026-04-09T12:54:26.000-03:00;2026-04-09T12:54:26.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-7000.00;0.00;-7000.00;0.00;;;available_money;ARS;
2026-04-09T12:46:53.000-03:00;2026-04-09T12:46:54.000-03:00;2026-04-09T12:46:54.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-11000.00;0.00;-11000.00;0.00;;;available_money;ARS;
2026-04-09T09:14:18.000-03:00;2026-04-09T09:14:19.000-03:00;2026-04-09T09:14:18.000-03:00;available_money;SETTLEMENT;;"""Compra en Carrefour - Suc. 6029""";109155478;-5662.78;0.00;-5662.78;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-09T01:51:29.000-03:00;2026-04-09T01:51:29.000-03:00;;;SETTLEMENT;;"""Intereses ganados""";109155478;728.69;0.00;728.69;0.00;;;;ARS;
2026-04-08T03:09:45.000-03:00;2026-04-08T03:09:45.000-03:00;;;SETTLEMENT;;"""Intereses ganados""";109155478;747.29;0.00;747.29;0.00;;;;ARS;
