TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;OPERATION_TAGS;SALE_DETAIL;USER_ID;TRANSACTION_AMOUNT;FEE_AMOUNT;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TRANSACTION_CURRENCY;INVOICING_PERIOD
2026-04-08T03:09:45.000-03:00;2026-04-08T03:09:45.000-03:00;;;SETTLEMENT;;;109155478;747.29;0.00;747.29;0.00;;;;ARS;
2026-04-07T18:26:52.000-03:00;2026-04-07T18:26:52.000-03:00;2026-04-12T18:26:52.000-03:00;available_money;SETTLEMENT;;"""INMUEBLE""";109155478;-9845.82;0.00;-9845.82;0.00;Mercado Pago;Checkouts;available_money;ARS;
2026-04-07T13:13:27.000-03:00;2026-04-07T13:13:28.000-03:00;2026-04-07T13:13:28.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-800.00;0.00;-800.00;0.00;;;available_money;ARS;
2026-04-07T13:06:26.000-03:00;2026-04-07T13:06:27.000-03:00;2026-04-07T13:06:27.000-03:00;available_money;SETTLEMENT;;"""Producto de Pimiento Colorado""";109155478;-5300.00;0.00;-5300.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-07T01:50:52.000-03:00;2026-04-07T01:50:52.000-03:00;;;SETTLEMENT;;;109155478;770.57;0.00;770.57;0.00;;;;ARS;
2026-04-06T19:56:33.000-03:00;2026-04-06T19:56:34.000-03:00;2026-04-06T19:56:34.000-03:00;available_money;SETTLEMENT;;"""Compra en Carrefour - Suc. 6029""";109155478;-4759.00;0.00;-4759.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-06T01:41:33.000-03:00;2026-04-06T01:41:33.000-03:00;;;SETTLEMENT;;;109155478;291.20;0.00;291.20;0.00;;;;ARS;
2026-04-04T18:34:06.000-03:00;2026-04-04T18:34:06.000-03:00;2026-04-04T18:34:06.000-03:00;available_money;SETTLEMENT;;"""Producto de Minimarket Los Hermanos""";109155478;-1800.00;0.00;-1800.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-04T15:49:16.000-03:00;2026-04-04T15:49:20.000-03:00;2026-04-06T14:52:03.000-03:00;available_money;SETTLEMENT;[{"Utility_ID":"2681364625"}];"""Cooperativa Eléctrica de Godoy Cruz""";109155478;-47300.00;0.00;-47300.00;0.00;Mercado Pago;Wallet;available_money;ARS;
2026-04-04T15:45:05.000-03:00;2026-04-04T15:45:06.000-03:00;2026-04-04T15:45:05.000-03:00;bank_transfer;SETTLEMENT;;"""Pago Debin""";109155478;1430730.00;0.00;1430730.00;0.00;;;debin_transfer;ARS;
2026-04-04T15:38:06.000-03:00;2026-04-04T15:38:10.000-03:00;2026-04-04T15:38:10.000-03:00;available_money;SETTLEMENT;;"""ARCA""";109155478;-16956.46;0.00;-16956.46;0.00;Mercado Pago;Wallet;available_money;ARS;
2026-04-04T09:35:41.000-03:00;2026-04-04T09:35:41.000-03:00;2026-04-04T09:35:41.000-03:00;available_money;SETTLEMENT;;"""Compra en Carrefour - Suc. 6029""";109155478;-7083.45;0.00;-7083.45;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-02T17:58:00.000-03:00;2026-04-02T17:58:01.000-03:00;2026-04-02T17:58:01.000-03:00;available_money;SETTLEMENT;;"""Producto""";109155478;-12100.00;0.00;-12100.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-02T13:28:53.000-03:00;2026-04-02T13:28:54.000-03:00;2026-04-02T13:28:54.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-14000.00;0.00;-14000.00;0.00;;;available_money;ARS;
2026-04-01T20:26:33.000-03:00;2026-04-01T20:26:34.000-03:00;2026-04-01T20:26:34.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-2375.00;0.00;-2375.00;0.00;;;available_money;ARS;
2026-04-01T20:14:23.000-03:00;2026-04-01T20:14:24.000-03:00;2026-04-01T20:14:24.000-03:00;available_money;SETTLEMENT;;"""Compra en Carrefour - Suc. 6029""";109155478;-15593.00;0.00;-15593.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-01T18:32:27.000-03:00;2026-04-01T18:32:27.000-03:00;2026-04-01T18:32:27.000-03:00;available_money;SETTLEMENT;;"""Producto de La Micñon""";109155478;-3000.00;0.00;-3000.00;0.00;Mercado Pago;QR;available_money;ARS;
2026-04-01T13:15:03.000-03:00;2026-04-01T13:15:03.000-03:00;2026-04-01T13:15:03.000-03:00;available_money;SETTLEMENT;;"""Varios""";109155478;-8000.00;0.00;-8000.00;0.00;;;available_money;ARS;
2026-04-01T01:20:54.000-03:00;2026-04-01T01:20:54.000-03:00;;;SETTLEMENT;;;109155478;63.35;0.00;63.35;0.00;;;;ARS;
